effect,level,label,proba
distortion,9,power,0.11632767
distortion,9,sadness,0.17078973
distortion,9,tenderness,0.08747367
distortion,9,tension,0.186043
distortion,9,transcendence,0.09671592
distortion,9,wonder,0.08312451
distortion,10,joyfulActivation,0.21224625
distortion,10,neutral,0.055638406
distortion,10,nostalgia,0.060235083
distortion,10,peacefulness,0.17508915
distortion,10,power,0.11355131
distortion,10,sadness,0.15901409
distortion,10,tenderness,0.08392794
distortion,10,tension,0.18954197
distortion,10,transcendence,0.09739546
distortion,10,wonder,0.080377564
eq,1,joyfulActivation,0.26442912
eq,1,neutral,0.08272578
eq,1,nostalgia,0.07699237
eq,1,peacefulness,0.2487977
eq,1,power,0.1320409
eq,1,sadness,0.19632225
eq,1,tenderness,0.09258033
eq,1,tension,0.18181634
eq,1,transcendence,0.06334576
eq,1,wonder,0.12139487
eq,2,joyfulActivation,0.2726745
eq,2,neutral,0.0794512
eq,2,nostalgia,0.067960955
eq,2,peacefulness,0.23748486
eq,2,power,0.12822263
eq,2,sadness,0.19941269
eq,2,tenderness,0.08269013
eq,2,tension,0.17687567
eq,2,transcendence,0.055888455
eq,2,wonder,0.12040854
eq,3,joyfulActivation,0.2767475
eq,3,neutral,0.075696394
eq,3,nostalgia,0.062416468
eq,3,peacefulness,0.23258552
eq,3,power,0.12319982
eq,3,sadness,0.20091836
eq,3,tenderness,0.07923622
eq,3,tension,0.17356671
eq,3,transcendence,0.049973898
eq,3,wonder,0.1218709
eq,4,joyfulActivation,0.28223592
eq,4,neutral,0.07428626
eq,4,nostalgia,0.056020513
eq,4,peacefulness,0.22456041
eq,4,power,0.121910535
eq,4,sadness,0.20833358
eq,4,tenderness,0.076229036
eq,4,tension,0.17421883
eq,4,transcendence,0.04578227
eq,4,wonder,0.1252064
eq,5,joyfulActivation,0.28462824
eq,5,neutral,0.07061986
eq,5,nostalgia,0.051989596
eq,5,peacefulness,0.21929145
eq,5,power,0.11921564
eq,5,sadness,0.21262516
eq,5,tenderness,0.07368107
eq,5,tension,0.1744027
eq,5,transcendence,0.042109642
eq,5,wonder,0.12518677
eq,6,joyfulActivation,0.29142335
eq,6,neutral,0.066883594
eq,6,nostalgia,0.04863433
eq,6,peacefulness,0.21699347
eq,6,power,0.118911766
eq,6,sadness,0.21373929
eq,6,tenderness,0.07268701
eq,6,tension,0.17562051
eq,6,transcendence,0.041801244
eq,6,wonder,0.122689836
eq,7,joyfulActivation,0.29083762
eq,7,neutral,0.066104695
eq,7,nostalgia,0.045603875
eq,7,peacefulness,0.21645206
eq,7,power,0.11652892
eq,7,sadness,0.21844916
eq,7,tenderness,0.07240598
eq,7,tension,0.17354007
eq,7,transcendence,0.040786646
eq,7,wonder,0.12116123
eq,8,joyfulActivation,0.2893076
eq,8,neutral,0.065188155
eq,8,nostalgia,0.04334348
eq,8,peacefulness,0.21330321
eq,8,power,0.11204365
eq,8,sadness,0.21997854
eq,8,tenderness,0.07313237
eq,8,tension,0.17454718
eq,8,transcendence,0.039178994
eq,8,wonder,0.11872773
eq,9,joyfulActivation,0.2906171
eq,9,neutral,0.06275503
eq,9,nostalgia,0.041057706
eq,9,peacefulness,0.21285719
eq,9,power,0.11082015
eq,9,sadness,0.22441795
eq,9,tenderness,0.07309094
eq,9,tension,0.17542267
eq,9,transcendence,0.03878631
eq,9,wonder,0.12116208
eq,10,joyfulActivation,0.28749397
eq,10,neutral,0.06267808
eq,10,nostalgia,0.03842567
eq,10,peacefulness,0.21109296
eq,10,power,0.11237148
eq,10,sadness,0.23068881
eq,10,tenderness,0.07361473
eq,10,tension,0.17559731
eq,10,transcendence,0.03779574
eq,10,wonder,0.11989429
phaser,1,joyfulActivation,0.23970819
phaser,1,neutral,0.119083285
phaser,1,nostalgia,0.13831091
phaser,1,peacefulness,0.31039825
phaser,1,power,0.14430675
phaser,1,sadness,0.23037526
phaser,1,tenderness,0.17194363
phaser,1,tension,0.22821495
phaser,1,transcendence,0.07851548
phaser,1,wonder,0.10451933
phaser,2,joyfulActivation,0.23408543
phaser,2,neutral,0.11256035
phaser,2,nostalgia,0.13513078
phaser,2,peacefulness,0.31519935
phaser,2,power,0.1409172
phaser,2,sadness,0.22634783
phaser,2,tenderness,0.17066878
phaser,2,tension,0.22513142
phaser,2,transcendence,0.07591415
phaser,2,wonder,0.10451928
phaser,3,joyfulActivation,0.24388994
phaser,3,neutral,0.11147218
phaser,3,nostalgia,0.1368675
phaser,3,peacefulness,0.3073203
phaser,3,power,0.14605895
phaser,3,sadness,0.23149775
phaser,3,tenderness,0.16510595
phaser,3,tension,0.22829178
phaser,3,transcendence,0.076306686
phaser,3,wonder,0.097702794
phaser,4,joyfulActivation,0.23602475
phaser,4,neutral,0.11453691
phaser,4,nostalgia,0.12859537
phaser,4,peacefulness,0.29698238
phaser,4,power,0.14301723
phaser,4,sadness,0.22618355
phaser,4,tenderness,0.1621723
phaser,4,tension,0.23293681
phaser,4,transcendence,0.07513662
phaser,4,wonder,0.09124094
phaser,5,joyfulActivation,0.23678657
phaser,5,neutral,0.09760043
phaser,5,nostalgia,0.11498121
phaser,5,peacefulness,0.30250478
phaser,5,power,0.14493676
phaser,5,sadness,0.22269544
phaser,5,tenderness,0.16281962
phaser,5,tension,0.23574556
phaser,5,transcendence,0.075512275
phaser,5,wonder,0.09220886
phaser,6,joyfulActivation,0.24906988
phaser,6,neutral,0.08674596
phaser,6,nostalgia,0.117513575
phaser,6,peacefulness,0.29290694
phaser,6,power,0.1375732
phaser,6,sadness,0.20971048
phaser,6,tenderness,0.15811907
phaser,6,tension,0.2322497
phaser,6,transcendence,0.06881974
phaser,6,wonder,0.077845804
phaser,7,joyfulActivation,0.24735218
phaser,7,neutral,0.0830532
phaser,7,nostalgia,0.112162806
phaser,7,peacefulness,0.28779414
phaser,7,power,0.14080031
phaser,7,sadness,0.20453733
phaser,7,tenderness,0.14963537
phaser,7,tension,0.23991728
phaser,7,transcendence,0.06404253
phaser,7,wonder,0.078434385
phaser,8,joyfulActivation,0.24588944
phaser,8,neutral,0.07034735
phaser,8,nostalgia,0.10406661
phaser,8,peacefulness,0.28479773
phaser,8,power,0.14384668
phaser,8,sadness,0.19565114
phaser,8,tenderness,0.14405385
phaser,8,tension,0.23444289
phaser,8,transcendence,0.06281307
phaser,8,wonder,0.071556255
phaser,9,joyfulActivation,0.2634594
phaser,9,neutral,0.06618378
phaser,9,nostalgia,0.09814259
phaser,9,peacefulness,0.2839738
phaser,9,power,0.14276356
phaser,9,sadness,0.1873033
phaser,9,tenderness,0.14507197
phaser,9,tension,0.24294414
phaser,9,transcendence,0.0598572
phaser,9,wonder,0.07409615
phaser,10,joyfulActivation,0.27543798
phaser,10,neutral,0.06064367
phaser,10,nostalgia,0.0900927
phaser,10,peacefulness,0.27311054
phaser,10,power,0.14361514
phaser,10,sadness,0.17579909
phaser,10,tenderness,0.13457312
phaser,10,tension,0.24023218
phaser,10,transcendence,0.054669354
phaser,10,wonder,0.068795286
reverb,1,joyfulActivation,0.10766483
reverb,1,neutral,0.04876608
reverb,1,nostalgia,0.098895736
reverb,1,peacefulness,0.2567041
reverb,1,power,0.09542937
reverb,1,sadness,0.2949129
reverb,1,tenderness,0.11472131
reverb,1,tension,0.23286317
reverb,1,transcendence,0.08415689
reverb,1,wonder,0.058080826
reverb,2,joyfulActivation,0.10748277
reverb,2,neutral,0.049424145
reverb,2,nostalgia,0.09933439
reverb,2,peacefulness,0.2529488
reverb,2,power,0.092283666
reverb,2,sadness,0.2914406
reverb,2,tenderness,0.11457263
reverb,2,tension,0.23193881
reverb,2,transcendence,0.08462112
reverb,2,wonder,0.058517635
reverb,3,joyfulActivation,0.105893455
reverb,3,neutral,0.049418617
reverb,3,nostalgia,0.10018629
reverb,3,peacefulness,0.24547179
reverb,3,power,0.090308174
reverb,3,sadness,0.28989473
reverb,3,tenderness,0.11303992
reverb,3,tension,0.23267706
reverb,3,transcendence,0.08367955
reverb,3,wonder,0.059583135
reverb,4,joyfulActivation,0.105044134
reverb,4,neutral,0.04640974
reverb,4,nostalgia,0.10064408
reverb,4,peacefulness,0.2444145
reverb,4,power,0.08760921
reverb,4,sadness,0.28753155
reverb,4,tenderness,0.111389704
reverb,4,tension,0.23014782
reverb,4,transcendence,0.082753405
reverb,4,wonder,0.06047875
reverb,5,joyfulActivation,0.1043973
reverb,5,neutral,0.045949433
reverb,5,nostalgia,0.099887304
reverb,5,peacefulness,0.24248113
reverb,5,power,0.08629834
reverb,5,sadness,0.28422233
reverb,5,tenderness,0.11081322
reverb,5,tension,0.2349163
reverb,5,transcendence,0.08562729
reverb,5,wonder,0.059629817
reverb,6,joyfulActivation,0.10408526
reverb,6,neutral,0.04472931
reverb,6,nostalgia,0.098120265
reverb,6,peacefulness,0.23915115
reverb,6,power,0.08700804
reverb,6,sadness,0.28296453
reverb,6,tenderness,0.11132395
reverb,6,tension,0.23869745
reverb,6,transcendence,0.0879329
reverb,6,wonder,0.059011035
reverb,7,joyfulActivation,0.10140211
reverb,7,neutral,0.04455178
reverb,7,nostalgia,0.10096849
reverb,7,peacefulness,0.23576832
reverb,7,power,0.08810412
reverb,7,sadness,0.2780369
reverb,7,tenderness,0.107986175
reverb,7,tension,0.23845251
reverb,7,transcendence,0.09034092
reverb,7,wonder,0.05782634
reverb,8,joyfulActivation,0.09857938
reverb,8,neutral,0.045320213
reverb,8,nostalgia,0.10044544
reverb,8,peacefulness,0.23105535
reverb,8,power,0.08444835
reverb,8,sadness,0.2752361
reverb,8,tenderness,0.10870211
reverb,8,tension,0.24496903
reverb,8,transcendence,0.09399544
reverb,8,wonder,0.060176928
reverb,9,joyfulActivation,0.09656542
reverb,9,neutral,0.04613906
reverb,9,nostalgia,0.10460058
reverb,9,peacefulness,0.2213211
reverb,9,power,0.076353334
reverb,9,sadness,0.2677319
reverb,9,tenderness,0.11001581
reverb,9,tension,0.2567182
reverb,9,transcendence,0.096844286
reverb,9,wonder,0.06264873
reverb,10,joyfulActivation,0.09556424
reverb,10,neutral,0.04444385
reverb,10,nostalgia,0.112106025
reverb,10,peacefulness,0.21518709
reverb,10,power,0.072830506
reverb,10,sadness,0.263176
reverb,10,tenderness,0.11105857
reverb,10,tension,0.2681561
reverb,10,transcendence,0.100141585
reverb,10,wonder,0.06766842
